price,bedroom,bathroom,area(sqft),country,city,address,propert_type,purpose,furnishing,completion_status,handover,project_name
"1,800,000",3 beds,4 baths,"1,208 sqft", UAE, Dubai, DAMAC Hills 2 (Akoya by DAMAC),Townhouse,Sale,Unfurnished,Off-Plan,Q2 2025,Camelia Villas
"325,000",Studio,1 bath,483 sqft, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q2 2025,Camelia Villas
"470,000",Studio,1 bath,428 sqft, UAE, Dubai, Arjan,Apartment,Sale,Furnished,Ready,Q2 2025,Camelia Villas
"1,120,000",1 bed,1 bath,706 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
"2,127,888",2 beds,2 baths,"1,149 sqft", UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
"2,452,888",3 beds,4 baths,"1,572 sqft", UAE, Dubai, Dubai South,Apartment,Sale,Unfurnished,Off-Plan,Q3 2029,Camelia Villas
"1,740,000",2 beds,3 baths,"1,333 sqft", UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Unfurnished,Off-Plan,Q4 2024,Binghatti Azure
"1,250,000",1 bed,2 baths,"1,001 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Unfurnished,Ready,Q4 2024,Scala Tower
"4,304,444",3 beds,4 baths,"1,842 sqft", UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Ocean Pearl by SD
"300,000",Studio,1 bath,474 sqft, UAE, Dubai, International City,Apartment,Sale,Unfurnished,Ready,Q4 2026,Ocean Pearl by SD
"508,000",1 bed,2 baths,675 sqft, UAE, Dubai, Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off-Plan,Q2 2026,Verdana Residence 2
"666,000",2 beds,3 baths,923 sqft, UAE, Dubai, Dubai Investment Park (DIP),Apartment,Sale,Unfurnished,Off-Plan,Q4 2025,Verdana Residence
"1,017,000",2 beds,3 baths,"1,820 sqft", UAE, Dubai, Dubai Investment Park (DIP),Townhouse,Sale,Unfurnished,Off-Plan,Q4 2025,Verdana
"2,800,000",2 beds,2 baths,"1,202 sqft", UAE, Dubai, Sobha Hartland,Apartment,Sale,Furnished,Off-Plan,Q4 2025,The Highbury
"1,500,000",1 bed,2 baths,871 sqft, UAE, Dubai, Arjan,Apartment,Sale,Furnished,Off-Plan,Q2 2026,Samana Skyros
"600,000",Studio,1 bath,441 sqft, UAE, Dubai, Jumeirah Village Circle (JVC),Apartment,Sale,Furnished,Ready,Q2 2026,Samana Skyros
"855,000",Studio,1 bath,415 sqft, UAE, Dubai, Al Jaddaf,Apartment,Sale,Unfurnished,Off-Plan,Q1 2026,Binghatti Starlight
"3,608,000",2 beds,3 baths,"1,366 sqft", UAE, Dubai, Business Bay,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Canal Heights
"660,000",Studio,1 bath,332 sqft, UAE, Dubai, Dubai South,Apartment,Sale,Furnished,Off-Plan,Q4 2025,AZIZI VENICE 2
"4,776,667",4 beds,5 baths,"1,973 sqft", UAE, Dubai, Dubai Islands,Apartment,Sale,Furnished,Off-Plan,Q4 2026,Ocean Pearl by SD
"1,624,130",2 beds,3 baths,"1,228 sqft", UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q4 2027,Samana Avenue
"1,094,000",1 bed,2 baths,844 sqft, UAE, Dubai, Dubai Land Residence Complex,Apartment,Sale,Furnished,Off-Plan,Q3 2027,Samana Park Meadows
"1,476,722",1 bed,2 baths,848 sqft, UAE, Dubai, Majan,Apartment,Sale,Furnished,Off-Plan,Q2 2027,Samana Barari Views
"1,000,000",1 bed,2 baths,921 sqft, UAE, Dubai, Majan,Apartment,Sale,Furnished,Ready,Q2 2027,The 50
